"Country","Year","WCR.med.m3perMWh","WCR.min.m3perMWh","WCR.max.m3perMWh"
"Ethiopia",2015,36.5544043978826,36.5542672159609,36.5546734445974
"Finland",2015,18.935103295109,18.664963866271,19.3796393418749
"France",2015,2.48189890301462,2.21629269314366,2.92236114288589
"North Macedonia",2015,2.89712848005668,2.49311376167198,3.51288310279844
"Gabon",2015,214.086347797273,213.974170082181,214.235743001787
"Georgia",2015,51.5332875666796,51.4961696325893,51.5704055007699
"Germany",2015,1.62635918131098,1.26636913258539,2.20383823474836
"Ghana",2015,782.055484900357,781.956423965712,782.190169262031
"Gibraltar",2015,1.92552,1.48064,2.69368
"Greece",2015,2.46437021842349,2.13709582894128,2.98113061785287
"Guatemala",2015,21.8771665211242,21.4280071838522,22.4026857256794
"Haiti",2015,6.55858895869942,6.19960832286127,7.23398004733141
"Honduras",2015,25.7309648542331,25.4884570884774,26.1865448586949
"China, Hong Kong SAR",2015,1.36879985129378,0.904656059245819,2.06975257589145
"Hungary",2015,2.93144580895257,2.54332999867589,3.51964955401186
"Iceland",2015,5.48686758471605,3.46417597771568,5.75316220889819
"India",2015,3.80125758732578,3.41779529464069,4.30248050093126
"Indonesia",2015,0.951775836200215,0.569634171599216,1.04323836821095
"Iran",2015,0.228983226189187,0.22205178471224,0.236465015629488
"Iraq",2015,2.75273576011501,2.73729754138685,2.77049792713109
"Ireland",2015,1.24441600222989,1.00602518389756,1.58661765228097
"Israel",2015,0.065617128126304,0.0508850743163205,0.081578646763616
"Italy",2015,1.90222713393985,1.52163326059316,2.23670141704933
"Jamaica",2015,3.61005635472829,3.24391946972101,4.29891130863416
"Japan",2015,5.73282524515224,5.7057706071698,5.73962186186993
"Jordan",2015,0.229092451240139,0.216156444929,0.243798153564742
"Kazakhstan",2015,70.8821938796014,70.3780970189484,71.6159201729478
"Kenya",2015,12.8213332978179,9.25815476767754,13.3807630253159
"Korea",2015,0.142486825035931,0.125678062187571,0.16566883908703
"Dem. People's Rep. of Korea",2015,48.4488985055689,48.2916458630705,48.7033221554925
"Kosovo",2015,1.92238828605981,1.27990587880373,2.90425394221278
"Kuwait",2015,0.0518916931818182,0.0367306818181818,0.0692823977272727
"Kyrgyzstan",2015,0.251686194934766,0.161748414428243,0.384251677666923
"Latvia",2015,5.04009785584674,4.88544379475872,5.23558293085126
"Lebanon",2015,1.71597844922611,1.69534028525056,1.74002510815906
"Libya",2015,1.04080368958439,0.788577291994348,1.45261194849511
"Lithuania",2015,3.42591536139469,3.25064097258463,3.66346216050274
"Luxembourg",2015,6.16302488396602,6.08153664101591,6.26695338721981
"Malaysia",2015,4.68621206445648,4.64243125931669,4.72333567509575
"Malta",2015,1.78534804597701,1.37285394636015,2.49758835249042
"Mauritius",2015,21.6912791388722,21.3030012609943,22.4269326590591
"Mexico",2015,6.46215977908996,6.10294501207098,6.77342836630256
"Rep. of Moldova",2015,8.0563147042961,7.89360915902181,8.22013528592201
"Mongolia",2015,2.41515848243062,1.83047000356249,3.34307990416107
"Montenegro",2015,3.54761714237762,3.21636679272727,4.05378217734266
"Morocco",2015,12.6510322416755,12.3198257704277,13.2362322929329
"Mozambique",2015,77.5627388327261,77.5241149218129,77.6037134964232
"Myanmar",2015,38.8002710054502,38.7915154240476,38.8088082039474
"Namibia",2015,484.195922882292,484.187404392708,484.212330955208
"Nepal",2015,65.7370383433179,65.7370383433179,65.7370383433179
"Netherlands",2015,1.07825112784924,0.741678969391425,1.58261503512261
"Nicaragua",2015,7.09787061843886,5.73937865337336,7.68507729966157
"Niger",2015,1.60459510357815,1.19833672316384,2.37408361581921
"Nigeria",2015,79.0043870253214,78.8727704526773,79.136260473948
"Norway",2015,12.7396292842624,12.7334639760561,12.7480258716464
"New Zealand",2015,6.9351216700684,5.56378925752087,7.13593183673506
"Oman",2015,0.0230659949935893,0.0180450943281031,0.0281789967641492
"Pakistan",2015,2.30614237754654,2.27499175916167,2.34423029669154
"Panama",2015,35.1346879831002,34.9896966621989,35.402960753108
"Paraguay",2015,35.9018364297609,35.9018294302632,35.9018495987118
"Peru",2015,30.3984607454397,30.3076958564218,30.5037542170776
"Philippines",2015,2.4689954202684,1.40516809569582,2.64269384715494
"Poland",2015,4.29409588917754,3.71912903072861,5.1728220616967
"Portugal",2015,1.1270300854979,0.861208139675696,1.49654085848531
"Qatar",2015,0.021824,0.01724,0.026408
"Romania",2015,46.6169588393402,46.3396894686391,47.0304623568978
"Russian Federation",2015,26.7882797886431,26.5301623998329,27.1291674467818
"Saudi Arabia",2015,0.0426340756039747,0.0307284675269402,0.0560834880682859
"Senegal",2015,41.2731741288364,40.9464989180438,41.9108321389545
"Serbia",2015,2.8024827444065,2.33295899773565,3.51947690467596
"Singapore",2015,0.0816605841927806,0.0609533980563269,0.103000909262198
"Slovakia",2015,28.8213839283314,28.4838193630413,29.3430407621418
"Slovenia",2015,2.68874664202384,2.34728813209007,3.21385223805033
"South Africa",2015,3.0650254293485,2.61602791998558,3.88292021855761
"Spain",2015,1.55888952513979,1.31483599672688,1.94204285356054
"Srilanka",2015,29.9292611955121,29.8894552783523,29.967622822731
"South Sudan",2015,1.71883183391003,1.35888166089965,2.42478062283737
"Sudan",2015,320.140954956082,320.012858658082,320.39218257929
"Suriname",2015,37.2954442242161,37.1397523818778,37.5883649903809
"Sweden",2015,2.06950359022326,1.92450307798481,2.31436350830459
"Switzerland",2015,6.89793647418119,6.77302789296441,7.10781960235602
"Syria",2015,1.54808305402514,1.53871822653098,1.55847790087198
"Tajikistan",2015,34.7150166454959,34.7088556992192,34.7241612160587
"United Rep. of Tanzania",2015,12.0658111261785,11.9117960190412,12.3001633999568
"Thailand",2015,4.61803039988675,4.58597823692662,4.64789058757092
"Togo",2015,342.836544711111,342.72506322963,343.05518668642
"Trinidad",2015,0.489520194174757,0.325465747572816,0.65437598446602
"Tunisia",2015,2.25214379585787,2.08573595829442,2.43839666895431
"Turkey",2015,7.72729599356826,7.38949979870458,8.08747076060814
"Turkmenistan",2015,0.58536,0.41634,0.75438
"United Arab Emirates",2015,0.0280825140775403,0.0229216016833378,0.0334776386790823
"United Kingdom",2015,1.43475964807888,1.14479934354271,1.88242339151306
"Ukraine",2015,18.7049837003433,18.2681979406386,19.3550910437287
"Uruguay",2015,153.2932816518,153.212078490372,153.446058392722
"USA",2015,2.25766969494508,1.93690582368159,2.61751482041764
"Uzbekistan",2015,1.15668703398581,0.987785443865096,1.33924131315884
"Venezuela",2015,46.435224028337,46.3348920518844,46.5911568789428
"Viet Nam",2015,23.8646163366551,23.5976215498021,24.2583014237893
"Yemen",2015,0.0501946548381797,0.0355747198948579,0.0669476839165435
"Zambia",2015,480.288495143457,480.277638451246,480.309787725854
"Zimbabwe",2015,592.239132629572,592.009922985059,592.657989837197
"Albania",2016,5.7920252,5.7920252,5.7920252
"Algeria",2016,1.99461851408933,1.83301497027762,2.16096569495612
"Angola",2016,13.1288621906669,12.9703818123251,13.4396802970273
"Argentina",2016,23.0351498346976,22.8685331739178,23.2736109141705
"Armenia",2016,21.9446660379986,21.7643279628107,22.1873754050526
"Australia",2016,3.89716021443778,3.73585514371441,4.12031696073401
"Austria",2016,7.04756564873516,6.93836869445388,7.2076903050762
"Azerbaijan",2016,13.5237940889352,13.3310449269106,13.7490661700477
"Bahrain",2016,0.0218273071904595,0.0172421438091898,0.0264127158190109
"Bangladesh",2016,15.7157917957946,15.6886020564932,15.7464844400023
"Belarus",2016,1.3687112133528,1.19281749887982,1.55155076349282
"Belgium",2016,1.38721622314617,1.13200122238868,1.78778687657414
"Benin",2016,10.5997480724638,10.2567480724638,11.2685625652174
"Bolivia",2016,11.663164549814,11.5185752087576,11.8255177616325
"Bosnia Herzegovina",2016,2.92996366536613,2.48292507415771,3.61311110443857
"Botswana",2016,1.46668333333333,0.99129375,2.33368125
"Brazil",2016,44.442015369925,44.3518042003916,44.5947278112393
"Brunei",2016,0.076150331381733,0.0574859543325527,0.0950551475409836
"Bulgaria",2016,19.4355123990017,19.0116655716942,20.0842512708351
"Cambodia",2016,31.8003582131284,31.4860290172041,32.3045610209582
"Cameroon",2016,307.148099579877,307.018329550986,307.371680336063
"Canada",2016,14.7004091283601,14.552980397042,14.8493378542779
"Chile",2016,1.98556872484804,1.72239155243163,2.43428595299652
"China",2016,1.97637254179963,1.53403548217716,2.67610183552982
"Colombia",2016,4.21840222313802,4.11498459505972,4.37778840643057
"Congo",2016,159.990584672925,159.90029308735,160.095483699828
"Dem. Rep. of the Congo",2016,493.173887551877,493.172508241533,493.176559122759
"Costa Rica",2016,46.976106956425,46.0270750935447,47.1238822390277
"Côte d'Ivoire",2016,0.38030873284265,0.250877382136463,0.513745971752536
"Croatia",2016,3.4338242940156,3.25887363098908,3.69158310056786
